"E-8 City/County/State Population and Housing Estimates, 4/1/1990 to 4/1/2000",,,,,,,,,,,
,,------------POPULATION------------,,,---------------------------------- HOUSING UNITS ----------------------------------,,,,,,PERSONS PER HOUSEHOLD
,1/1/1996,"24,295","23,740",555,"10,455","6,604","3,849",2,"10,272",1.75%,2.311
,1/1/1997,"24,469","23,897",572,"10,461","6,630","3,830",1,"10,283",1.70%,2.324
,1/1/1998,"24,914","24,325",589,"10,574","6,763","3,810",1,"10,401",1.64%,2.339
,1/1/1999,"24,970","24,364",606,"10,569","6,777","3,792",0,"10,402",1.58%,2.342
,1/1/2000,"25,021","24,398",623,"10,560","6,787","3,773",0,"10,400",1.52%,2.346
,4/1/2000,"25,123","24,496",627,"10,577","6,809","3,768",0,"10,418",1.50%,2.351
,,,,,,,,,,,
San Mateo,4/1/1990,"2,952","2,910",42,"1,382",937,382,63,"1,300",5.93%,2.238
Brisbane,1/1/1991,"2,922","2,880",42,"1,390",966,362,62,"1,300",6.47%,2.215
,1/1/1992,"2,924","2,876",48,"1,400",998,342,60,"1,299",7.21%,2.214
,1/1/1993,"2,916","2,868",48,"1,406","1,032",316,58,"1,294",7.97%,2.216
,1/1/1994,"2,897","2,849",48,"1,410","1,064",290,56,"1,288",8.65%,2.212
,1/1/1995,"2,850","2,802",48,"1,414","1,096",264,54,"1,282",9.34%,2.186
,1/1/1996,"2,816","2,767",49,"1,416","1,126",238,52,"1,274",10.03%,2.172
,1/1/1997,"2,854","2,805",49,"1,446","1,157",239,50,"1,292",10.65%,2.171
,1/1/1998,"2,883","2,843",40,"1,475","1,188",239,48,"1,308",11.32%,2.174
,1/1/1999,"2,906","2,866",40,"1,503","1,217",240,46,"1,324",11.91%,2.165
,1/1/2000,"3,543","3,503",40,"1,805","1,249",512,44,"1,598",11.47%,2.192
,4/1/2000,"3,597","3,557",40,"1,831","1,268",520,43,"1,620",11.52%,2.196
,,,,,,,,,,,
San Mateo,4/1/1990,"26,666","26,176",490,"12,831","6,449","6,379",3,"12,250",4.53%,2.137
Burlingame,1/1/1991,"26,592","26,122",470,"12,845","6,454","6,388",3,"12,280",4.40%,2.127
,1/1/1992,"26,722","26,255",467,"12,824","6,452","6,370",2,"12,283",4.22%,2.138
,1/1/1993,"27,017","26,554",463,"12,812","6,449","6,361",2,"12,293",4.05%,2.160
,1/1/1994,"27,080","26,620",460,"12,787","6,454","6,331",2,"12,292",3.87%,2.166
,1/1/1995,"27,198","26,742",456,"12,766","6,455","6,309",2,"12,293",3.71%,2.175
,1/1/1996,"27,261","26,808",453,"12,754","6,451","6,302",1,"12,304",3.53%,2.179
,1/1/1997,"27,575","27,078",497,"12,794","6,446","6,347",1,"12,366",3.35%,2.190
,1/1/1998,"27,765","27,271",494,"12,790","6,460","6,329",1,"12,384",3.17%,2.202
,1/1/1999,"27,881","27,391",490,"12,809","6,478","6,331",0,"12,425",3.00%,2.205
,1/1/2000,"28,001","27,514",487,"12,829","6,526","6,303",0,"12,467",2.82%,2.207
,4/1/2000,"28,158","27,672",486,"12,869","6,525","6,344",0,"12,511",2.78%,2.212
,,,,,,,,,,,
San Mateo,4/1/1990,"1,103","1,090",13,437,231,136,70,415,5.03%,2.627
Colma,1/1/1991,"1,132","1,119",13,434,232,137,65,412,5.07%,2.716
,1/1/1992,"1,116","1,103",13,424,233,132,59,403,4.95%,2.737
,1/1/1993,"1,116","1,102",14,406,231,123,52,387,4.68%,2.848
,1/1/1994,"1,129","1,115",14,397,233,118,46,377,5.04%,2.958
,1/1/1995,"1,170","1,122",48,403,233,130,40,384,4.71%,2.922
,1/1/1996,"1,172","1,124",48,391,236,122,33,373,4.60%,3.013
,1/1/1997,"1,171","1,123",48,378,238,113,27,360,4.76%,3.119
,1/1/1998,"1,193","1,144",49,372,239,113,20,356,4.30%,3.213
,1/1/1999,"1,191","1,142",49,358,241,103,14,343,4.19%,3.329
,1/1/2000,"1,186","1,137",49,344,242,94,8,330,4.07%,3.445
,4/1/2000,"1,187","1,138",49,341,243,92,6,327,4.11%,3.480
,,,,,,,,,,,
San Mateo,4/1/1990,"92,088","91,194",894,"30,072","19,027","10,433",612,"28,923",3.82%,3.153
Daly City,1/1/1991,"93,153","92,266",887,"30,180","19,170","10,403",607,"29,077",3.65%,3.173
,1/1/1992,"95,100","94,223",877,"30,449","19,413","10,437",599,"29,401",3.44%,3.205
,1/1/1993,"96,360","95,494",866,"30,495","19,503","10,400",592,"29,512",3.22%,3.236
,1/1/1994,"97,504","96,648",856,"30,622","19,476","10,561",585,"29,700",3.01%,3.254
,1/1/1995,"97,637","96,792",845,"30,797","19,471","10,748",578,"29,934",2.80%,3.234
,1/1/1996,"98,962","98,127",835,"31,008","19,685","10,752",571,"30,202",2.60%,3.249
,1/1/1997,"100,683","99,859",824,"31,235","19,900","10,771",564,"30,487",2.39%,3.275
,1/1/1998,"102,024","101,210",814,"31,319","20,037","10,719",563,"30,634",2.19%,3.304
,1/1/1999,"102,769","101,966",803,"31,356","20,198","10,600",558,"30,736",1.98%,3.317
,1/1/2000,"103,328","102,535",793,"31,328","20,331","10,440",557,"30,775",1.77%,3.332
,4/1/2000,"103,625","102,835",790,"31,313","20,355","10,402",556,"30,777",1.71%,3.341
,,,,,,,,,,,
San Mateo,4/1/1990,"23,451","23,030",421,"7,351","3,771","3,318",262,"6,953",5.41%,3.312
East Palo Alto,1/1/1991,"23,932","23,528",404,"7,331","3,791","3,286",254,"6,954",5.14%,3.383
,1/1/1992,"24,789","24,409",380,"7,325","3,811","3,270",244,"6,976",4.76%,3.499
,1/1/1993,"25,287","24,930",357,"7,281","3,833","3,215",233,"6,960",4.41%,3.582
,1/1/1994,"25,888","25,554",334,"7,249","3,851","3,175",223,"6,958",4.01%,3.673
,1/1/1995,"26,712","26,401",311,"7,253","3,882","3,159",212,"6,988",3.65%,3.778
,1/1/1996,"27,276","26,988",288,"7,244","3,900","3,142",202,"7,006",3.29%,3.852
,1/1/1997,"27,924","27,660",264,"7,237","3,919","3,127",191,"7,026",2.92%,3.937
,1/1/1998,"28,579","28,338",241,"7,228","3,937","3,110",181,"7,044",2.55%,4.023
,1/1/1999,"29,150","28,932",218,"7,225","3,961","3,094",170,"7,068",2.17%,4.093
,1/1/2000,"29,219","29,024",195,"7,067","3,962","2,944",161,"6,946",1.71%,4.179
,4/1/2000,"29,506","29,317",189,"7,091","3,992","2,940",159,"6,976",1.62%,4.203
,,,,,,,,,,,
San Mateo,4/1/1990,"28,176","28,074",102,"11,747","7,240","4,503",4,"11,210",4.57%,2.504
Foster City,1/1/1991,"27,912","27,812",100,"11,779","7,248","4,527",4,"11,252",4.47%,2.472
,1/1/1992,"27,990","27,892",98,"11,787","7,264","4,518",5,"11,275",4.34%,2.474
,1/1/1993,"28,233","28,137",96,"11,819","7,257","4,557",5,"11,321",4.21%,2.485
,1/1/1994,"28,020","27,926",94,"11,802","7,249","4,548",5,"11,320",4.08%,2.467
,1/1/1995,"28,046","27,948",98,"11,796","7,252","4,539",5,"11,329",3.96%,2.467
,1/1/1996,"28,074","27,978",96,"11,809","7,273","4,530",6,"11,356",3.84%,2.464
,1/1/1997,"28,348","28,254",94,"11,879","7,292","4,581",6,"11,439",3.70%,2.470
,1/1/1998,"28,559","28,467",92,"11,917","7,289","4,622",6,"11,490",3.58%,2.478
,1/1/1999,"28,690","28,600",90,"11,976","7,281","4,688",7,"11,562",3.46%,2.474
,1/1/2000,"28,767","28,679",88,"12,013","7,273","4,733",7,"11,613",3.33%,2.470
,4/1/2000,"28,803","28,716",87,"12,009","7,272","4,730",7,"11,613",3.30%,2.473
,,,,,,,,,,,
San Mateo,4/1/1990,"8,886","8,758",128,"3,402","2,496",580,326,"3,137",7.79%,2.792
Half Moon Bay,1/1/1991,"9,520","9,340",180,"3,668","2,751",583,334,"3,397",7.39%,2.749
,1/1/1992,"9,855","9,605",250,"3,713","2,777",592,344,"3,461",6.79%,2.775
,1/1/1993,"10,137","9,797",340,"3,744","2,800",590,354,"3,511",6.22%,2.790
,1/1/1994,"10,330","9,920",410,"3,799","2,853",582,364,"3,582",5.71%,2.769
,1/1/1995,"10,646","10,166",480,"3,847","2,893",580,374,"3,647",5.20%,2.787
,1/1/1996,"10,895","10,345",550,"3,913","2,953",576,384,"3,728",4.73%,2.775
,1/1/1997,"11,206","10,586",620,"3,988","2,990",604,394,"3,819",4.24%,2.772
,1/1/1998,"11,449","10,759",690,"4,035","3,036",595,404,"3,884",3.74%,2.770
,1/1/1999,"11,578","10,818",760,"4,059","3,058",587,414,"3,926",3.28%,2.755
,1/1/2000,"11,776","10,946",830,"4,104","3,101",579,424,"3,989",2.80%,2.744
,4/1/2000,"11,842","10,994",848,"4,114","3,110",577,427,"4,004",2.67%,2.746
,,,,,,,,,,,
San Mateo,4/1/1990,"10,667","10,661",6,"3,789","3,763",21,5,"3,626",4.30%,2.940
Hillsborough,1/1/1991,"10,588","10,582",6,"3,800","3,775",20,5,"3,640",4.21%,2.907
,1/1/1992,"10,600","10,595",5,"3,803","3,780",19,4,"3,648",4.08%,2.904
,1/1/1993,"10,661","10,656",5,"3,802","3,780",18,4,"3,651",3.97%,2.919
,1/1/1994,"10,632","10,628",4,"3,798","3,778",17,3,"3,652",3.84%,2.910
,1/1/1995,"10,701","10,697",4,"3,798","3,780",15,3,"3,657",3.71%,2.925
,1/1/1996,"10,712","10,708",4,"3,800","3,784",14,2,"3,665",3.55%,2.922
,1/1/1997,"10,754","10,751",3,"3,800","3,785",13,2,"3,670",3.42%,2.929
,1/1/1998,"10,820","10,817",3,"3,806","3,793",12,1,"3,680",3.31%,2.939
,1/1/1999,"10,814","10,812",2,"3,805","3,793",11,1,"3,684",3.18%,2.935
,1/1/2000,"10,819","10,817",2,"3,808","3,799",9,0,"3,692",3.05%,2.930
,4/1/2000,"10,825","10,823",2,"3,804","3,795",9,0,"3,689",3.02%,2.934
,,,,,,,,,,,
San Mateo,4/1/1990,"28,403","27,324","1,079","12,428","7,429","4,992",8,"11,991",3.52%,2.279
Menlo Park,1/1/1991,"28,517","27,435","1,082","12,493","7,444","5,041",8,"12,063",3.44%,2.274
,1/1/1992,"28,723","27,670","1,053","12,497","7,461","5,029",7,"12,079",3.34%,2.291
,1/1/1993,"29,076","28,035","1,041","12,495","7,471","5,017",7,"12,088",3.26%,2.319
,1/1/1994,"29,158","28,129","1,029","12,488","7,476","5,005",7,"12,093",3.16%,2.326
,1/1/1995,"29,535","28,518","1,017","12,480","7,480","4,993",7,"12,098",3.06%,2.357
,1/1/1996,"29,614","28,610","1,004","12,474","7,487","4,981",6,"12,105",2.96%,2.363
,1/1/1997,"29,877","28,885",992,"12,511","7,536","4,969",6,"12,152",2.87%,2.377
,1/1/1998,"30,297","29,317",980,"12,604","7,641","4,957",6,"12,253",2.78%,2.393
,1/1/1999,"30,490","29,523",967,"12,655","7,705","4,945",5,"12,314",2.69%,2.398
,1/1/2000,"30,717","29,762",955,"12,717","7,769","4,943",5,"12,387",2.59%,2.403
,4/1/2000,"30,785","29,833",952,"12,714","7,769","4,940",5,"12,387",2.57%,2.408
,,,,,,,,,,,
San Mateo,4/1/1990,"20,414","20,079",335,"8,159","5,637","2,519",3,"7,934",2.76%,2.531
Millbrae,1/1/1991,"20,296","19,983",313,"8,188","5,633","2,551",4,"7,967",2.70%,2.508
,1/1/1992,"20,423","20,127",296,"8,238","5,633","2,601",4,"8,023",2.61%,2.509
,1/1/1993,"20,626","20,346",280,"8,256","5,628","2,623",5,"8,046",2.54%,2.529
,1/1/1994,"20,703","20,440",263,"8,278","5,620","2,652",6,"8,074",2.46%,2.532
,1/1/1995,"20,795","20,548",247,"8,297","5,611","2,679",7,"8,100",2.37%,2.537
,1/1/1996,"20,862","20,632",230,"8,319","5,606","2,705",8,"8,127",2.31%,2.539
,1/1/1997,"20,987","20,773",214,"8,335","5,601","2,726",8,"8,150",2.22%,2.549
,1/1/1998,"21,128","20,931",197,"8,353","5,599","2,745",9,"8,174",2.14%,2.561
,1/1/1999,"20,888","20,707",181,"8,259","5,591","2,658",10,"8,089",2.06%,2.560
,1/1/2000,"20,671","20,335",336,"8,109","5,586","2,512",11,"7,951",1.95%,2.558
,4/1/2000,"20,718","20,386",332,"8,113","5,585","2,517",11,"7,956",1.94%,2.562
,,,,,,,,,,,
San Mateo,4/1/1990,"37,670","37,524",146,"13,740","10,620","3,012",108,"13,340",2.91%,2.813
Pacifica,1/1/1991,"37,422","37,279",143,"13,772","10,646","3,019",107,"13,383",2.82%,2.786
,1/1/1992,"37,626","37,479",147,"13,815","10,674","3,035",106,"13,442",2.70%,2.788
,1/1/1993,"37,765","37,614",151,"13,830","10,689","3,036",105,"13,472",2.59%,2.792
,1/1/1994,"37,667","37,512",155,"13,844","10,706","3,034",104,"13,503",2.46%,2.778
,1/1/1995,"37,305","37,146",159,"13,896","10,762","3,031",103,"13,569",2.35%,2.738
,1/1/1996,"37,640","37,476",164,"14,029","10,800","3,127",102,"13,714",2.25%,2.733
,1/1/1997,"37,873","37,705",168,"14,080","10,857","3,122",101,"13,780",2.13%,2.736
,1/1/1998,"38,097","37,925",172,"14,117","10,903","3,114",100,"13,833",2.01%,2.742
,1/1/1999,"38,183","38,007",176,"14,169","10,959","3,111",99,"13,899",1.91%,2.735
,1/1/2000,"38,320","38,140",180,"14,239","11,035","3,106",98,"13,984",1.79%,2.727
,4/1/2000,"38,392","38,211",181,"14,246","11,044","3,104",98,"13,995",1.76%,2.730
,,,,,,,,,,,
San Mateo,4/1/1990,"4,195","4,144",51,"1,676","1,434",239,3,"1,631",2.68%,2.541
Portola Valley,1/1/1991,"4,125","4,078",47,"1,683","1,440",240,3,"1,636",2.79%,2.493
,1/1/1992,"4,141","4,092",49,"1,697","1,453",242,2,"1,647",2.95%,2.485
,1/1/1993,"4,184","4,132",52,"1,707","1,460",245,2,"1,654",3.10%,2.498
,1/1/1994,"4,235","4,181",54,"1,712","1,463",247,2,"1,657",3.21%,2.523
,1/1/1995,"4,289","4,232",57,"1,721","1,470",249,2,"1,663",3.37%,2.545
,1/1/1996,"4,312","4,253",59,"1,730","1,478",251,1,"1,669",3.53%,2.548
,1/1/1997,"4,359","4,297",62,"1,742","1,488",253,1,"1,678",3.67%,2.561
,1/1/1998,"4,393","4,329",64,"1,748","1,492",255,1,"1,682",3.78%,2.574
,1/1/1999,"4,417","4,350",67,"1,758","1,501",257,0,"1,689",3.92%,2.575
,1/1/2000,"4,449","4,380",69,"1,770","1,511",259,0,"1,699",4.01%,2.578
,4/1/2000,"4,462","4,392",70,"1,772","1,512",260,0,"1,700",4.06%,2.584
,,,,,,,,,,,
San Mateo,4/1/1990,"66,072","64,321","1,751","26,847","15,580","10,685",582,"25,493",5.04%,2.523
Redwood City,1/1/1991,"66,617","64,829","1,788","27,115","15,691","10,800",624,"25,792",4.88%,2.514
,1/1/1992,"67,437","65,634","1,803","27,144","15,787","10,711",646,"25,880",4.66%,2.536
,1/1/1993,"68,167","66,349","1,818","27,186","15,878","10,640",668,"25,980",4.44%,2.554
,1/1/1994,"68,626","66,793","1,833","27,234","16,005","10,534",695,"26,086",4.22%,2.560
,1/1/1995,"69,376","67,528","1,848","27,286","16,141","10,428",717,"26,194",4.00%,2.578
,1/1/1996,"70,275","68,412","1,863","27,553","16,371","10,443",739,"26,508",3.79%,2.581
,1/1/1997,"71,435","69,557","1,878","27,824","16,515","10,548",761,"26,825",3.59%,2.593
,1/1/1998,"72,754","70,861","1,893","28,137","16,706","10,648",783,"27,181",3.40%,2.607
,1/1/1999,"73,835","71,927","1,908","28,476","16,965","10,706",805,"27,563",3.21%,2.610
,1/1/2000,"75,218","73,295","1,923","28,924","17,128","10,969",827,"28,047",3.03%,2.613
,4/1/2000,"75,402","73,475","1,927","28,921","17,146","10,942",833,"28,060",2.98%,2.618
,,,,,,,,,,,
San Mateo,4/1/1990,"38,961","37,768","1,193","15,178","9,440","5,648",90,"14,640",3.54%,2.580
San Bruno,1/1/1991,"38,734","37,656","1,078","15,161","9,454","5,622",85,"14,641",3.43%,2.572
,1/1/1992,"38,848","37,863",985,"15,139","9,471","5,590",78,"14,642",3.28%,2.586
,1/1/1993,"39,248","38,356",892,"15,122","9,492","5,559",71,"14,649",3.13%,2.618
,1/1/1994,"39,281","38,481",800,"15,106","9,516","5,526",64,"14,656",2.98%,2.626
,1/1/1995,"39,472","38,765",707,"15,085","9,532","5,495",58,"14,658",2.83%,2.645
,1/1/1996,"39,535","38,920",615,"15,062","9,548","5,463",51,"14,659",2.68%,2.655
,1/1/1997,"39,731","39,209",522,"15,039","9,564","5,431",44,"14,659",2.53%,2.675
,1/1/1998,"39,956","39,527",429,"15,018","9,578","5,403",37,"14,663",2.36%,2.696
,1/1/1999,"39,999","39,662",337,"14,996","9,594","5,372",30,"14,664",2.21%,2.705
,1/1/2000,"40,078","39,834",244,"14,985","9,619","5,342",24,"14,676",2.06%,2.714
,4/1/2000,"40,165","39,944",221,"14,980","9,624","5,334",22,"14,677",2.02%,2.722
,,,,,,,,,,,
San Mateo,4/1/1990,"26,382","26,321",61,"11,437","8,583","2,811",44,"11,140",2.60%,2.363
San Carlos,1/1/1991,"26,228","26,158",70,"11,460","8,614","2,804",42,"11,167",2.56%,2.342
,1/1/1992,"26,392","26,310",82,"11,505","8,660","2,806",39,"11,218",2.49%,2.345
,1/1/1993,"26,618","26,523",95,"11,542","8,689","2,817",36,"11,260",2.44%,2.356
,1/1/1994,"26,714","26,607",107,"11,551","8,710","2,807",34,"11,276",2.38%,2.360
,1/1/1995,"27,022","26,903",119,"11,572","8,726","2,815",31,"11,303",2.32%,2.380
,1/1/1996,"27,091","26,960",131,"11,585","8,747","2,810",28,"11,323",2.26%,2.381
,1/1/1997,"27,236","27,093",143,"11,591","8,761","2,805",25,"11,336",2.20%,2.390
,1/1/1998,"27,423","27,267",156,"11,609","8,792","2,795",22,"11,360",2.14%,2.400
,1/1/1999,"27,514","27,346",168,"11,638","8,806","2,812",20,"11,394",2.10%,2.400
,1/1/2000,"27,664","27,484",180,"11,691","8,831","2,843",17,"11,453",2.04%,2.400
,4/1/2000,"27,718","27,535",183,"11,691","8,834","2,841",16,"11,455",2.02%,2.404
,,,,,,,,,,,
San Mateo,4/1/1990,"85,619","84,001","1,618","37,010","20,676","16,320",14,"35,559",3.92%,2.362
San Mateo,1/1/1991,"85,674","84,050","1,624","37,239","20,689","16,534",16,"35,823",3.80%,2.346
,1/1/1992,"86,306","84,718","1,588","37,300","20,733","16,548",19,"35,940",3.65%,2.357
,1/1/1993,"87,232","85,699","1,533","37,436","20,810","16,603",23,"36,130",3.49%,2.372
,1/1/1994,"88,078","86,563","1,515","37,569","20,853","16,690",26,"36,317",3.33%,2.384
,1/1/1995,"89,223","87,714","1,509","37,641","20,907","16,705",29,"36,445",3.18%,2.407
,1/1/1996,"89,503","88,031","1,472","37,670","20,961","16,677",32,"36,531",3.02%,2.410
,1/1/1997,"90,198","88,763","1,435","37,749","21,013","16,701",35,"36,666",2.87%,2.421
,1/1/1998,"90,829","89,430","1,399","37,784","21,057","16,689",38,"36,758",2.72%,2.433
,1/1/1999,"91,022","89,660","1,362","37,802","21,100","16,661",41,"36,835",2.56%,2.434
,1/1/2000,"92,270","90,945","1,325","38,247","21,158","17,045",44,"37,321",2.42%,2.437
,4/1/2000,"92,482","91,166","1,316","38,249","21,166","17,038",45,"37,338",2.38%,2.442
,,,,,,,,,,,
San Mateo,4/1/1990,"54,312","53,823",489,"19,081","13,287","5,389",405,"18,519",2.95%,2.906
South San Francisco,1/1/1991,"54,371","53,890",481,"19,119","13,320","5,394",405,"18,566",2.89%,2.903
,1/1/1992,"54,902","54,432",470,"19,099","13,307","5,386",406,"18,560",2.82%,2.933
,1/1/1993,"55,187","54,700",487,"19,118","13,296","5,416",406,"18,591",2.76%,2.942
,1/1/1994,"55,668","55,186",482,"19,107","13,276","5,425",406,"18,593",2.69%,2.968
,1/1/1995,"55,443","54,942",501,"19,075","13,263","5,405",407,"18,575",2.62%,2.958
,1/1/1996,"55,748","55,258",490,"19,083","13,262","5,414",407,"18,596",2.55%,2.971
,1/1/1997,"56,171","55,692",479,"19,067","13,253","5,406",408,"18,594",2.48%,2.995
,1/1/1998,"57,225","56,757",468,"19,253","13,441","5,404",408,"18,788",2.42%,3.021
,1/1/1999,"58,754","58,297",457,"19,683","13,894","5,381",408,"19,219",2.36%,3.033
,1/1/2000,"60,302","59,856",446,"20,113","14,269","5,435",409,"19,649",2.31%,3.046
,4/1/2000,"60,552","60,109",443,"20,138","14,300","5,429",409,"19,677",2.29%,3.055
,,,,,,,,,,,
San Mateo,4/1/1990,"5,034","5,034",0,"1,891","1,851",36,4,"1,812",4.18%,2.778
Woodside,1/1/1991,"5,009","5,009",0,"1,904","1,864",36,4,"1,825",4.15%,2.745
,1/1/1992,"5,022","5,021",1,"1,919","1,881",35,3,"1,839",4.17%,2.730
,1/1/1993,"5,084","5,082",2,"1,929","1,891",35,3,"1,850",4.10%,2.747
,1/1/1994,"5,062","5,060",2,"1,940","1,903",35,2,"1,860",4.12%,2.720
,1/1/1995,"5,170","5,167",3,"1,953","1,916",35,2,"1,873",4.10%,2.759
,1/1/1996,"5,201","5,198",3,"1,970","1,935",34,1,"1,890",4.06%,2.750
,1/1/1997,"5,265","5,261",4,"1,991","1,956",34,1,"1,910",4.07%,2.754
,1/1/1998,"5,350","5,345",5,"2,019","1,985",34,0,"1,937",4.06%,2.759
,1/1/1999,"5,396","5,391",5,"2,041","2,008",33,0,"1,959",4.02%,2.752
,1/1/2000,"5,341","5,335",6,"2,029","1,996",33,0,"1,947",4.04%,2.740
,4/1/2000,"5,352","5,346",6,"2,030","1,997",33,0,"1,949",3.99%,2.743
,,,,,,,,,,,
San Mateo,4/1/1990,"592,379","582,636","9,743","231,311","147,442","81,261","2,610","222,396",3.85%,2.620
Incorporated,1/1/1991,"593,776","584,156","9,620","232,508","148,255","81,617","2,636","223,797",3.75%,2.610
,1/1/1992,"600,238","590,745","9,493","233,014","148,873","81,511","2,630","224,635",3.60%,2.630
,1/1/1993,"606,420","596,992","9,428","233,308","149,280","81,399","2,629","225,261",3.45%,2.650
,1/1/1994,"610,456","601,100","9,356","233,669","149,572","81,465","2,632","225,958",3.30%,2.660
,1/1/1995,"613,866","604,505","9,361","234,040","149,962","81,445","2,633","226,659",3.15%,2.667
,1/1/1996,"618,353","609,087","9,266","234,785","150,711","81,446","2,628","227,720",3.01%,2.675
,1/1/1997,"625,263","616,047","9,216","235,667","151,407","81,634","2,626","228,913",2.87%,2.691
,1/1/1998,"632,822","623,709","9,113","236,676","152,442","81,605","2,629","230,230",2.72%,2.709
,1/1/1999,"637,637","628,622","9,015","237,652","153,632","81,392","2,628","231,515",2.58%,2.715
,1/1/2000,"643,884","634,793","9,091","239,193","154,676","81,881","2,636","233,342",2.45%,2.720
,4/1/2000,"645,888","636,821","9,067","239,308","154,844","81,827","2,637","233,542",2.41%,2.727
,,,,,,,,,,,
San Mateo,4/1/1990,"57,244","54,992","2,252","20,471","17,259","2,308",902,"19,518",4.66%,2.818
Balance of County,1/1/1991,"57,317","55,126","2,191","20,546","17,340","2,308",898,"19,610",4.56%,2.811
,1/1/1992,"57,742","55,630","2,112","20,648","17,422","2,334",892,"19,736",4.42%,2.819
,1/1/1993,"57,974","56,047","1,927","20,697","17,477","2,334",886,"19,811",4.28%,2.829
,1/1/1994,"58,255","56,403","1,852","20,701","17,500","2,319",882,"19,842",4.15%,2.843
,1/1/1995,"59,408","57,631","1,777","20,744","17,567","2,300",877,"19,913",4.01%,2.894
,1/1/1996,"59,573","57,871","1,702","20,815","17,654","2,289",872,"20,008",3.88%,2.892
,1/1/1997,"59,890","58,263","1,627","20,862","17,699","2,297",866,"20,081",3.74%,2.901
,1/1/1998,"60,267","58,715","1,552","20,918","17,773","2,285",860,"20,164",3.60%,2.912
,1/1/1999,"60,696","59,219","1,477","21,086","17,944","2,288",854,"20,351",3.49%,2.910
,1/1/2000,"61,168","59,766","1,402","21,265","18,138","2,280",847,"20,551",3.36%,2.908
,4/1/2000,"61,275","59,892","1,383","21,270","18,144","2,279",847,"20,562",3.33%,2.913
,,,,,,,,,,,
San Mateo,4/1/1990,"649,623","637,628","11,995","251,782","164,701","83,569","3,512","241,914",3.92%,2.636
County Total,1/1/1991,"651,093","639,282","11,811","253,054","165,595","83,925","3,534","243,407",3.81%,2.626
,1/1/1992,"657,980","646,375","11,605","253,662","166,295","83,845","3,522","244,371",3.66%,2.645
,1/1/1993,"664,394","653,039","11,355","254,005","166,757","83,733","3,515","245,072",3.52%,2.665
,1/1/1994,"668,711","657,503","11,208","254,370","167,072","83,784","3,514","245,800",3.37%,2.675
,1/1/1995,"673,274","662,136","11,138","254,784","167,529","83,745","3,510","246,572",3.22%,2.685
,1/1/1996,"677,926","666,958","10,968","255,600","168,365","83,735","3,500","247,728",3.08%,2.692
