"E-8 City/County/State Population and Housing Estimates, 4/1/2000 to 4/1/2010",,,,,,,,,,,,
,,POPULATION,,, HOUSING UNITS,,,,,,,
Gilroy,1/1/2001,"42,436","41,978",458,"12,506","8,842","3,242",422,"12,190",316,2.53%,3.444
,1/1/2002,"43,144","42,648",496,"12,850","9,167","3,272",411,"12,493",357,2.78%,3.414
,1/1/2003,"43,866","43,333",533,"13,205","9,435","3,370",400,"12,806",399,3.02%,3.384
,1/1/2004,"45,026","44,455",571,"13,653","9,745","3,520",388,"13,210",443,3.24%,3.365
,1/1/2005,"45,782","45,173",609,"14,033","10,111","3,545",377,"13,548",485,3.46%,3.334
,1/1/2006,"46,446","45,800",646,"14,303","10,375","3,563",365,"13,779",524,3.66%,3.324
,1/1/2007,"47,047","46,363",684,"14,461","10,522","3,585",354,"13,900",561,3.88%,3.335
,1/1/2008,"48,353","47,632",721,"14,821","10,868","3,610",343,"14,218",603,4.07%,3.350
,1/1/2009,"48,627","47,868",759,"14,841","10,875","3,635",331,"14,204",637,4.29%,3.370
,1/1/2010,"48,853","48,056",797,"14,854","10,884","3,650",320,"14,183",671,4.52%,3.388
,4/1/2010,"48,821","48,015",806,"14,854","10,884","3,653",317,"14,175",679,4.57%,3.387
,,,,,,,,,,,,
Santa Clara,4/1/2000,"27,693","27,274",419,"10,727","9,549","1,162",16,"10,462",265,2.47%,2.607
Los Altos,1/1/2001,"27,802","27,397",405,"10,789","9,601","1,173",15,"10,509",280,2.60%,2.607
,1/1/2002,"27,713","27,328",385,"10,819","9,631","1,175",13,"10,520",299,2.76%,2.598
,1/1/2003,"27,565","27,199",366,"10,828","9,641","1,175",12,"10,510",318,2.94%,2.588
,1/1/2004,"27,517","27,170",347,"10,845","9,646","1,189",10,"10,508",337,3.11%,2.586
,1/1/2005,"27,381","27,053",328,"10,854","9,641","1,205",8,"10,498",356,3.28%,2.577
,1/1/2006,"27,446","27,137",309,"10,890","9,674","1,209",7,"10,515",375,3.44%,2.581
,1/1/2007,"27,831","27,542",289,"10,985","9,769","1,211",5,"10,589",396,3.60%,2.601
,1/1/2008,"28,076","27,806",270,"11,021","9,806","1,211",4,"10,606",415,3.77%,2.622
,1/1/2009,"28,376","28,125",251,"11,056","9,833","1,221",2,"10,622",434,3.93%,2.648
,1/1/2010,"28,791","28,559",232,"11,140","9,924","1,216",0,"10,686",454,4.08%,2.673
,4/1/2010,"28,976","28,749",227,"11,204","9,930","1,274",0,"10,745",459,4.10%,2.676
,,,,,,,,,,,,
Santa Clara,4/1/2000,"8,025","7,960",65,"2,871","2,839",26,6,"2,795",76,2.65%,2.848
Los Altos Hills,1/1/2001,"7,972","7,908",64,"2,870","2,837",25,8,"2,788",82,2.86%,2.836
,1/1/2002,"7,889","7,826",63,"2,876","2,842",24,10,"2,784",92,3.20%,2.811
,1/1/2003,"7,995","7,933",62,"2,951","2,917",22,12,"2,847",104,3.52%,2.786
,1/1/2004,"7,939","7,878",61,"2,958","2,922",22,14,"2,845",113,3.82%,2.769
,1/1/2005,"7,852","7,793",59,"2,962","2,926",20,16,"2,839",123,4.15%,2.745
,1/1/2006,"7,794","7,736",58,"2,961","2,924",19,18,"2,830",131,4.42%,2.734
,1/1/2007,"7,772","7,715",57,"2,955","2,917",18,20,"2,815",140,4.74%,2.741
,1/1/2008,"7,909","7,853",56,"3,005","2,966",17,22,"2,853",152,5.06%,2.753
,1/1/2009,"7,892","7,837",55,"2,991","2,952",15,24,"2,831",160,5.35%,2.768
,1/1/2010,"7,935","7,882",53,"3,001","2,961",14,26,"2,831",170,5.66%,2.784
,4/1/2010,"7,922","7,869",53,"3,001","2,960",14,27,"2,829",172,5.73%,2.782
,,,,,,,,,,,,
Santa Clara,4/1/2000,"28,592","27,890",702,"12,367","8,774","3,470",123,"11,988",379,3.06%,2.326
Los Gatos,1/1/2001,"28,664","27,988",676,"12,449","8,856","3,474",119,"12,046",403,3.24%,2.323
,1/1/2002,"28,520","27,880",640,"12,496","8,925","3,458",113,"12,063",433,3.47%,2.311
,1/1/2003,"28,362","27,757",605,"12,540","8,989","3,444",107,"12,076",464,3.70%,2.299
,1/1/2004,"28,227","27,657",570,"12,558","9,026","3,431",101,"12,064",494,3.93%,2.293
,1/1/2005,"28,070","27,535",535,"12,597","9,083","3,419",95,"12,072",525,4.17%,2.281
,1/1/2006,"28,017","27,517",500,"12,620","9,125","3,406",89,"12,065",555,4.40%,2.281
,1/1/2007,"28,177","27,713",464,"12,661","9,158","3,420",83,"12,075",586,4.63%,2.295
,1/1/2008,"28,980","28,551",429,"12,981","9,208","3,696",77,"12,355",626,4.82%,2.311
,1/1/2009,"29,182","28,788",394,"13,005","9,254","3,680",71,"12,349",656,5.04%,2.331
,1/1/2010,"29,359","29,000",359,"13,025","9,296","3,664",65,"12,339",686,5.27%,2.350
,4/1/2010,"29,413","29,063",350,"13,050","9,326","3,660",64,"12,355",695,5.33%,2.352
,,,,,,,,,,,,
Santa Clara,4/1/2000,"62,698","59,524","3,174","17,364","13,140","3,652",572,"17,132",232,1.34%,3.474
Milpitas,1/1/2001,"62,499","59,361","3,138","17,439","13,265","3,616",558,"17,179",260,1.49%,3.455
,1/1/2002,"62,572","59,481","3,091","17,700","13,436","3,725",539,"17,400",300,1.69%,3.418
,1/1/2003,"63,361","60,318","3,043","18,176","13,606","4,049",521,"17,835",341,1.88%,3.382
,1/1/2004,"62,825","59,829","2,996","18,212","13,772","3,938",502,"17,834",378,2.08%,3.355
,1/1/2005,"62,177","59,229","2,948","18,259","13,935","3,826",498,"17,845",414,2.27%,3.319
,1/1/2006,"62,133","59,233","2,900","18,396","14,114","3,803",479,"17,945",451,2.45%,3.301
,1/1/2007,"62,684","59,831","2,853","18,593","14,350","3,783",460,"18,103",490,2.64%,3.305
,1/1/2008,"65,162","62,357","2,805","19,341","14,562","4,334",445,"18,806",535,2.77%,3.316
,1/1/2009,"66,392","63,634","2,758","19,679","14,771","4,482",426,"19,103",576,2.93%,3.331
,1/1/2010,"66,672","63,962","2,710","19,749","14,961","4,380",408,"19,137",612,3.10%,3.342
,4/1/2010,"66,790","64,092","2,698","19,806","15,012","4,391",403,"19,184",622,3.14%,3.341
,,,,,,,,,,,,
Santa Clara,4/1/2000,"3,483","3,483",0,"1,237","1,146",91,0,"1,211",26,2.10%,2.876
Monte Sereno,1/1/2001,"3,465","3,465",0,"1,241","1,155",86,0,"1,211",30,2.42%,2.861
,1/1/2002,"3,412","3,412",0,"1,240","1,161",79,0,"1,205",35,2.82%,2.832
,1/1/2003,"3,395","3,395",0,"1,252","1,181",71,0,"1,212",40,3.19%,2.801
,1/1/2004,"3,382","3,382",0,"1,262","1,198",64,0,"1,217",45,3.57%,2.779
,1/1/2005,"3,324","3,324",0,"1,259","1,203",56,0,"1,209",50,3.97%,2.749
,1/1/2006,"3,308","3,308",0,"1,265","1,215",50,0,"1,210",55,4.35%,2.734
,1/1/2007,"3,314","3,314",0,"1,271","1,228",43,0,"1,211",60,4.72%,2.737
,1/1/2008,"3,304","3,304",0,"1,271","1,236",35,0,"1,206",65,5.11%,2.740
,1/1/2009,"3,328","3,328",0,"1,280","1,252",28,0,"1,210",70,5.47%,2.750
,1/1/2010,"3,344","3,344",0,"1,287","1,267",20,0,"1,212",75,5.83%,2.759
,4/1/2010,"3,341","3,341",0,"1,287","1,268",19,0,"1,211",76,5.91%,2.759
,,,,,,,,,,,,
Santa Clara,4/1/2000,"33,586","33,073",513,"11,100","8,419","1,755",926,"10,855",245,2.21%,3.047
Morgan Hill,1/1/2001,"33,914","33,411",503,"11,259","8,537","1,772",950,"10,992",267,2.37%,3.040
,1/1/2002,"34,210","33,719",491,"11,465","8,677","1,807",981,"11,168",297,2.59%,3.019
,1/1/2003,"34,109","33,631",478,"11,541","8,741","1,787","1,013","11,218",323,2.80%,2.998
,1/1/2004,"34,618","34,153",465,"11,790","8,940","1,819","1,031","11,436",354,3.00%,2.986
,1/1/2005,"35,011","34,558",453,"12,030","9,173","1,795","1,062","11,646",384,3.19%,2.967
,1/1/2006,"35,535","35,095",440,"12,256","9,288","1,874","1,094","11,842",414,3.38%,2.964
,1/1/2007,"36,467","36,040",427,"12,541","9,563","1,853","1,125","12,096",445,3.55%,2.979
,1/1/2008,"37,107","36,692",415,"12,720","9,675","1,888","1,157","12,246",474,3.73%,2.996
,1/1/2009,"37,653","37,251",402,"12,838","9,782","1,867","1,189","12,337",501,3.90%,3.019
,1/1/2010,"37,865","37,476",389,"12,850","9,783","1,847","1,220","12,323",527,4.10%,3.041
,4/1/2010,"37,882","37,496",386,"12,859","9,789","1,842","1,228","12,326",533,4.14%,3.042
,,,,,,,,,,,,
Santa Clara,4/1/2000,"70,708","70,204",504,"32,432","12,845","18,356","1,231","31,242","1,190",3.67%,2.247
Mountain View,1/1/2001,"71,087","70,602",485,"32,666","12,967","18,478","1,221","31,416","1,250",3.83%,2.247
,1/1/2002,"70,912","70,452",460,"32,782","13,103","18,471","1,208","31,460","1,322",4.03%,2.239
,1/1/2003,"71,134","70,699",435,"33,092","13,267","18,631","1,194","31,691","1,401",4.23%,2.231
,1/1/2004,"70,999","70,577",422,"33,134","13,331","18,622","1,181","31,663","1,471",4.44%,2.229
,1/1/2005,"70,629","70,232",397,"33,154","13,410","18,577","1,167","31,614","1,540",4.64%,2.222
,1/1/2006,"70,609","70,237",372,"33,175","13,504","18,517","1,154","31,566","1,609",4.85%,2.225
,1/1/2007,"71,410","71,063",347,"33,370","13,655","18,574","1,141","31,686","1,684",5.05%,2.243
,1/1/2008,"72,063","71,742",321,"33,484","13,862","18,495","1,127","31,729","1,755",5.24%,2.261
,1/1/2009,"73,074","72,778",296,"33,691","14,078","18,499","1,114","31,859","1,832",5.44%,2.284
,1/1/2010,"73,958","73,687",271,"33,852","14,255","18,497","1,100","31,946","1,906",5.63%,2.307
,4/1/2010,"74,066","73,801",265,"33,881","14,300","18,484","1,097","31,957","1,924",5.68%,2.309
,,,,,,,,,,,,
Santa Clara,4/1/2000,"58,598","57,930",668,"26,048","16,298","9,586",164,"25,216",832,3.19%,2.297
Palo Alto,1/1/2001,"60,069","59,413",656,"26,723","16,432","10,132",159,"25,807",916,3.43%,2.302
,1/1/2002,"59,987","59,348",639,"26,800","16,618","10,029",153,"25,801",999,3.73%,2.300
,1/1/2003,"59,873","59,251",622,"26,870","16,795","9,929",146,"25,786","1,084",4.03%,2.298
,1/1/2004,"59,915","59,309",606,"26,932","16,893","9,899",140,"25,763","1,169",4.34%,2.302
,1/1/2005,"60,723","60,134",589,"27,411","16,979","10,299",133,"26,146","1,265",4.61%,2.300
,1/1/2006,"61,260","60,687",573,"27,633","17,084","10,422",127,"26,278","1,355",4.90%,2.309
,1/1/2007,"61,385","60,748",637,"27,606","17,165","10,321",120,"26,169","1,437",5.21%,2.321
,1/1/2008,"62,173","61,553",620,"27,757","17,285","10,358",114,"26,234","1,523",5.49%,2.346
,1/1/2009,"63,496","62,892",604,"28,087","17,422","10,558",107,"26,471","1,616",5.75%,2.376
,1/1/2010,"64,352","63,765",587,"28,218","17,536","10,581",101,"26,515","1,703",6.04%,2.405
,4/1/2010,"64,403","63,820",583,"28,216","17,562","10,555",99,"26,493","1,723",6.11%,2.409
,,,,,,,,,,,,
Santa Clara,4/1/2000,"895,131","884,267","10,864","281,937","189,677","81,232","11,028","276,694","5,243",1.86%,3.196
San Jose,1/1/2001,"897,898","886,620","11,278","284,509","191,207","82,279","11,023","278,711","5,798",2.04%,3.181
,1/1/2002,"899,796","888,296","11,500","288,515","192,867","84,632","11,016","281,965","6,550",2.27%,3.150
,1/1/2003,"899,161","887,673","11,488","291,881","194,147","86,725","11,009","284,590","7,291",2.50%,3.119
,1/1/2004,"898,149","887,135","11,014","294,422","195,582","87,838","11,002","286,406","8,016",2.72%,3.097
,1/1/2005,"901,159","889,863","11,296","298,764","197,038","90,731","10,995","289,990","8,774",2.94%,3.069
,1/1/2006,"904,844","892,690","12,154","301,682","198,683","92,011","10,988","292,177","9,505",3.15%,3.055
,1/1/2007,"913,310","900,682","12,628","304,503","200,378","93,144","10,981","294,130","10,373",3.41%,3.062
,1/1/2008,"923,491","910,172","13,319","307,389","201,643","94,771","10,975","296,422","10,967",3.57%,3.071
,1/1/2009,"937,965","924,362","13,603","311,199","203,994","96,237","10,968","299,484","11,715",3.76%,3.087
,1/1/2010,"946,954","933,676","13,278","314,027","205,844","97,222","10,961","301,524","12,503",3.98%,3.097
,4/1/2010,"945,942","932,620","13,322","314,038","206,032","97,047","10,959","301,366","12,672",4.04%,3.095
,,,,,,,,,,,,
Santa Clara,4/1/2000,"102,361","99,574","2,787","39,630","21,233","18,288",109,"38,526","1,104",2.79%,2.585
Santa Clara,1/1/2001,"102,981","100,163","2,818","39,958","21,361","18,493",104,"38,780","1,178",2.95%,2.583
,1/1/2002,"103,305","100,446","2,859","40,341","21,522","18,721",98,"39,065","1,276",3.16%,2.571
,1/1/2003,"104,579","101,680","2,899","41,116","21,907","19,117",92,"39,732","1,384",3.37%,2.559
,1/1/2004,"106,319","103,379","2,940","41,961","22,337","19,539",85,"40,467","1,494",3.56%,2.555
,1/1/2005,"107,058","104,077","2,981","42,512","22,604","19,829",79,"40,916","1,596",3.75%,2.544
,1/1/2006,"108,749","105,727","3,022","43,239","22,863","20,303",73,"41,535","1,704",3.94%,2.545
,1/1/2007,"111,507","108,444","3,063","44,116","23,027","21,023",66,"42,301","1,815",4.11%,2.564
,1/1/2008,"112,760","109,656","3,104","44,370","23,143","21,167",60,"42,462","1,908",4.30%,2.582
,1/1/2009,"114,795","111,650","3,145","44,837","23,307","21,476",54,"42,828","2,009",4.48%,2.607
,1/1/2010,"116,184","112,998","3,186","45,064","23,452","21,564",48,"42,962","2,102",4.66%,2.630
,4/1/2010,"116,468","113,272","3,196","45,147","23,487","21,614",46,"43,021","2,126",4.71%,2.633
,,,,,,,,,,,,
Santa Clara,4/1/2000,"29,849","29,598",251,"10,652","10,097",548,7,"10,453",199,1.87%,2.832
Saratoga,1/1/2001,"29,714","29,475",239,"10,659","10,089",564,6,"10,446",213,2.00%,2.822
,1/1/2002,"29,924","29,591",333,"10,808","10,101",701,6,"10,574",234,2.17%,2.798
,1/1/2003,"29,758","29,442",316,"10,865","10,139",721,5,"10,612",253,2.33%,2.774
,1/1/2004,"29,556","29,256",300,"10,876","10,129",743,4,"10,605",271,2.49%,2.759
,1/1/2005,"29,630","29,346",284,"11,015","10,114",897,4,"10,723",292,2.65%,2.737
,1/1/2006,"29,493","29,225",268,"11,023","10,101",919,3,"10,713",310,2.81%,2.728
,1/1/2007,"29,727","29,475",252,"11,098","10,157",939,2,"10,768",330,2.97%,2.737
,1/1/2008,"29,780","29,545",235,"11,103","10,141",960,2,"10,755",348,3.13%,2.747
,1/1/2009,"29,815","29,596",219,"11,104","10,122",981,1,"10,738",366,3.30%,2.756
,1/1/2010,"29,940","29,737",203,"11,118","10,116","1,002",0,"10,733",385,3.46%,2.771
,4/1/2010,"29,926","29,727",199,"11,123","10,116","1,007",0,"10,734",389,3.50%,2.769
,,,,,,,,,,,,
Santa Clara,4/1/2000,"131,844","130,969",875,"53,787","24,947","24,744","4,096","52,573","1,214",2.26%,2.491
Sunnyvale,1/1/2001,"132,198","131,325",873,"53,938","24,985","24,872","4,081","52,635","1,303",2.42%,2.495
,1/1/2002,"132,119","131,249",870,"54,109","24,945","25,102","4,062","52,687","1,422",2.63%,2.491
,1/1/2003,"131,769","130,901",868,"54,181","24,931","25,208","4,042","52,642","1,539",2.84%,2.487
,1/1/2004,"131,647","130,782",865,"54,189","24,895","25,271","4,023","52,535","1,654",3.05%,2.489
,1/1/2005,"131,853","130,990",863,"54,469","25,008","25,458","4,003","52,695","1,774",3.26%,2.486
,1/1/2006,"132,630","131,770",860,"54,720","25,261","25,476","3,983","52,825","1,895",3.46%,2.494
,1/1/2007,"134,232","133,375",857,"54,967","25,463","25,540","3,964","52,951","2,016",3.67%,2.519
,1/1/2008,"136,296","135,441",855,"55,383","26,062","25,377","3,944","53,243","2,140",3.86%,2.544
,1/1/2009,"138,213","137,361",852,"55,618","26,200","25,493","3,925","53,358","2,260",4.06%,2.574
,1/1/2010,"139,865","139,015",850,"55,768","26,310","25,553","3,905","53,391","2,377",4.26%,2.604
,4/1/2010,"140,081","139,232",849,"55,791","26,322","25,569","3,900","53,384","2,407",4.31%,2.608
,,,,,,,,,,,,
Santa Clara,4/1/2000,"1,582,772","1,560,782","21,990","547,291","349,729","178,567","18,995","535,159","12,132",2.22%,2.916
Incorporated,1/1/2001,"1,589,707","1,567,361","22,346","552,120","352,542","180,643","18,935","538,922","13,198",2.39%,2.908
,1/1/2002,"1,593,514","1,570,957","22,557","558,468","355,932","183,652","18,884","543,866","14,602",2.61%,2.889
,1/1/2003,"1,594,808","1,572,386","22,422","564,298","358,723","186,742","18,833","548,296","16,002",2.84%,2.868
,1/1/2004,"1,596,849","1,575,008","21,841","569,000","361,616","188,618","18,766","551,618","17,382",3.05%,2.855
,1/1/2005,"1,601,687","1,579,684","22,003","575,812","364,669","192,416","18,727","557,013","18,799",3.26%,2.836
,1/1/2006,"1,609,957","1,587,218","22,739","580,906","367,896","194,335","18,675","560,724","20,182",3.47%,2.831
,1/1/2007,"1,628,856","1,605,684","23,172","586,569","371,487","196,461","18,621","564,849","21,720",3.70%,2.843
,1/1/2008,"1,650,479","1,626,739","23,740","592,256","374,703","198,978","18,575","569,282","22,974",3.88%,2.858
,1/1/2009,"1,675,129","1,651,224","23,905","598,020","378,193","201,305","18,522","573,650","24,370",4.08%,2.878
,1/1/2010,"1,691,501","1,668,042","23,459","601,879","381,034","202,376","18,469","576,095","25,784",4.28%,2.895
,4/1/2010,"1,691,682","1,668,210","23,472","602,234","381,457","202,321","18,456","576,124","26,110",4.34%,2.896
,,,,,,,,,,,,
Santa Clara,4/1/2000,"99,813","92,089","7,724","32,038","26,923","4,432",683,"30,704","1,334",4.16%,2.999
Balance of County,1/1/2001,"100,659","92,988","7,671","32,199","27,035","4,490",674,"31,060","1,139",3.54%,2.994
,1/1/2002,"99,716","92,168","7,548","32,034","26,803","4,569",662,"30,848","1,186",3.70%,2.988
,1/1/2003,"98,944","91,420","7,524","32,184","26,901","4,633",650,"30,933","1,251",3.89%,2.955
,1/1/2004,"98,753","91,345","7,408","32,515","27,160","4,717",638,"31,193","1,322",4.07%,2.928
,1/1/2005,"96,547","89,244","7,303","32,238","27,066","4,546",626,"30,686","1,552",4.81%,2.908
,1/1/2006,"96,719","89,492","7,227","32,446","27,209","4,624",613,"30,843","1,603",4.94%,2.902
,1/1/2007,"96,210","89,069","7,141","32,039","26,732","4,701",606,"30,544","1,495",4.67%,2.916
,1/1/2008,"97,433","90,388","7,045","32,162","26,787","4,781",594,"30,609","1,553",4.83%,2.953
,1/1/2009,"92,075","85,109","6,966","30,459","25,515","4,360",584,"28,887","1,572",5.16%,2.946
,1/1/2010,"89,926","83,023","6,903","29,656","24,633","4,439",584,"28,051","1,605",5.41%,2.960
,4/1/2010,"89,960","83,082","6,878","29,686","24,646","4,458",582,"28,080","1,606",5.41%,2.959
,,,,,,,,,,,,
Santa Clara,4/1/2000,"1,682,585","1,652,871","29,714","579,329","376,652","182,999","19,678","565,863","13,466",2.32%,2.921
County Total,1/1/2001,"1,690,366","1,660,349","30,017","584,319","379,577","185,133","19,609","569,982","14,337",2.45%,2.913
,1/1/2002,"1,693,230","1,663,125","30,105","590,502","382,735","188,221","19,546","574,714","15,788",2.67%,2.894
,1/1/2003,"1,693,752","1,663,806","29,946","596,482","385,624","191,375","19,483","579,229","17,253",2.89%,2.872
,1/1/2004,"1,695,602","1,666,353","29,249","601,515","388,776","193,335","19,404","582,811","18,704",3.11%,2.859
,1/1/2005,"1,698,234","1,668,928","29,306","608,050","391,735","196,962","19,353","587,699","20,351",3.35%,2.840
,1/1/2006,"1,706,676","1,676,710","29,966","613,352","395,105","198,959","19,288","591,567","21,785",3.55%,2.834
,1/1/2007,"1,725,066","1,694,753","30,313","618,608","398,219","201,162","19,227","595,393","23,215",3.75%,2.846
,1/1/2008,"1,747,912","1,717,127","30,785","624,418","401,490","203,759","19,169","599,891","24,527",3.93%,2.862
,1/1/2009,"1,767,204","1,736,333","30,871","628,479","403,708","205,665","19,106","602,537","25,942",4.13%,2.882
,1/1/2010,"1,781,427","1,751,065","30,362","631,535","405,667","206,815","19,053","604,146","27,389",4.34%,2.898
,4/1/2010,"1,781,642","1,751,292","30,350","631,920","406,103","206,779","19,038","604,204","27,716",4.39%,2.899
,,,,,,,,,,,,
Santa Cruz,4/1/2000,"10,033","9,877",156,"5,309","2,446","2,213",650,"4,692",617,11.62%,2.105
Capitola,1/1/2001,"10,055","9,900",155,"5,350","2,434","2,255",661,"4,708",642,12.00%,2.103
,1/1/2002,"10,021","9,866",155,"5,376","2,420","2,281",675,"4,704",672,12.50%,2.097
,1/1/2003,"9,990","9,836",154,"5,414","2,408","2,317",689,"4,712",702,12.97%,2.087
,1/1/2004,"9,891","9,738",153,"5,431","2,386","2,342",703,"4,700",731,13.46%,2.072
,1/1/2005,"9,760","9,608",152,"5,441","2,356","2,368",717,"4,683",758,13.93%,2.052
,1/1/2006,"9,723","9,572",151,"5,455","2,334","2,389",732,"4,668",787,14.43%,2.051
,1/1/2007,"9,735","9,584",151,"5,489","2,323","2,420",746,"4,672",817,14.88%,2.051
,1/1/2008,"9,793","9,643",150,"5,500","2,292","2,448",760,"4,656",844,15.35%,2.071
,1/1/2009,"9,861","9,712",149,"5,515","2,263","2,478",774,"4,642",873,15.83%,2.092
,1/1/2010,"9,924","9,776",148,"5,531","2,239","2,503",789,"4,630",901,16.29%,2.111
,4/1/2010,"9,918","9,770",148,"5,534","2,232","2,509",793,"4,626",908,16.41%,2.112
,,,,,,,,,,,,
Santa Cruz,4/1/2000,"54,593","49,959","4,634","21,504","14,008","7,056",440,"20,442","1,062",4.94%,2.444
Santa Cruz,1/1/2001,"54,389","49,726","4,663","21,500","14,104","6,963",433,"20,409","1,091",5.07%,2.436
,1/1/2002,"54,602","49,415","5,187","21,516","14,234","6,858",424,"20,384","1,132",5.26%,2.424
,1/1/2003,"55,335","49,259","6,076","21,641","14,388","6,838",415,"20,464","1,177",5.44%,2.407
,1/1/2004,"56,053","49,612","6,441","22,054","14,555","7,093",406,"20,816","1,238",5.61%,2.383
,1/1/2005,"56,387","50,115","6,272","22,968","14,698","7,874",396,"21,379","1,589",6.92%,2.344
,1/1/2006,"56,719","49,925","6,794","22,870","14,857","7,625",388,"21,358","1,512",6.61%,2.338
,1/1/2007,"57,505","50,111","7,394","23,029","15,018","7,632",379,"21,491","1,538",6.68%,2.332
,1/1/2008,"58,268","50,533","7,735","23,109","15,209","7,530",370,"21,507","1,602",6.93%,2.350
,1/1/2009,"59,357","51,173","8,184","23,226","15,356","7,509",361,"21,613","1,613",6.94%,2.368
,1/1/2010,"59,871","51,653","8,218","23,322","15,471","7,500",351,"21,672","1,650",7.07%,2.383
,4/1/2010,"59,946","51,657","8,289","23,316","15,497","7,470",349,"21,657","1,659",7.12%,2.385
,,,,,,,,,,,,
Santa Cruz,4/1/2000,"11,385","10,933",452,"4,423","2,831",788,804,"4,273",150,3.39%,2.559
Scotts Valley,1/1/2001,"11,406","10,967",439,"4,446","2,863",782,801,"4,293",153,3.44%,2.555
,1/1/2002,"11,427","11,006",421,"4,479","2,896",787,796,"4,322",157,3.51%,2.547
,1/1/2003,"11,457","11,054",403,"4,524","2,921",811,792,"4,363",161,3.56%,2.534
,1/1/2004,"11,408","11,023",385,"4,550","2,939",823,788,"4,385",165,3.63%,2.514
